subject,pred,gold,correct
abstract_algebra,B,B,1
abstract_algebra,N/A,C,0
abstract_algebra,D,D,1
abstract_algebra,C,B,0
abstract_algebra,B,B,1
abstract_algebra,C,A,0
abstract_algebra,A,A,1
abstract_algebra,A,D,0
abstract_algebra,C,B,0
abstract_algebra,C,C,1
abstract_algebra,A,C,0
abstract_algebra,D,C,0
abstract_algebra,C,A,0
abstract_algebra,C,C,1
abstract_algebra,C,C,1
abstract_algebra,C,B,0
abstract_algebra,D,C,0
abstract_algebra,D,C,0
abstract_algebra,D,D,1
abstract_algebra,C,A,0
abstract_algebra,C,A,0
abstract_algebra,A,A,1
abstract_algebra,C,D,0
abstract_algebra,C,D,0
abstract_algebra,A,B,0
abstract_algebra,D,C,0
abstract_algebra,C,C,1
abstract_algebra,D,B,0
abstract_algebra,A,D,0
abstract_algebra,A,A,1
abstract_algebra,A,B,0
abstract_algebra,B,B,1
abstract_algebra,A,A,1
abstract_algebra,C,C,1
abstract_algebra,C,A,0
abstract_algebra,B,B,1
abstract_algebra,D,D,1
abstract_algebra,C,B,0
abstract_algebra,A,C,0
abstract_algebra,C,D,0
abstract_algebra,A,C,0
abstract_algebra,B,A,0
abstract_algebra,C,B,0
abstract_algebra,A,C,0
abstract_algebra,C,C,1
abstract_algebra,C,C,1
abstract_algebra,C,B,0
abstract_algebra,B,B,1
abstract_algebra,C,C,1
abstract_algebra,B,B,1
abstract_algebra,C,D,0
abstract_algebra,B,B,1
abstract_algebra,A,A,1
abstract_algebra,A,C,0
abstract_algebra,B,B,1
abstract_algebra,A,A,1
abstract_algebra,C,D,0
abstract_algebra,C,B,0
abstract_algebra,C,A,0
abstract_algebra,C,A,0
abstract_algebra,A,D,0
abstract_algebra,C,D,0
abstract_algebra,A,C,0
abstract_algebra,A,B,0
abstract_algebra,A,B,0
abstract_algebra,A,C,0
abstract_algebra,C,D,0
abstract_algebra,B,C,0
abstract_algebra,A,A,1
abstract_algebra,A,A,1
abstract_algebra,D,D,1
abstract_algebra,C,C,1
abstract_algebra,A,D,0
abstract_algebra,B,B,1
abstract_algebra,C,D,0
abstract_algebra,C,B,0
abstract_algebra,N/A,C,0
abstract_algebra,A,A,1
abstract_algebra,C,D,0
abstract_algebra,A,C,0
abstract_algebra,C,B,0
abstract_algebra,A,D,0
abstract_algebra,A,A,1
abstract_algebra,C,C,1
abstract_algebra,C,D,0
abstract_algebra,A,C,0
abstract_algebra,A,A,1
abstract_algebra,N/A,A,0
abstract_algebra,D,A,0
abstract_algebra,C,C,1
abstract_algebra,A,D,0
abstract_algebra,B,B,1
abstract_algebra,D,B,0
abstract_algebra,A,A,1
abstract_algebra,A,D,0
abstract_algebra,C,C,1
abstract_algebra,C,B,0
abstract_algebra,D,C,0
abstract_algebra,N/A,C,0
abstract_algebra,C,C,1
anatomy,A,A,1
anatomy,B,B,1
anatomy,A,A,1
anatomy,C,C,1
anatomy,B,B,1
anatomy,A,B,0
anatomy,B,A,0
anatomy,B,B,1
anatomy,B,C,0
anatomy,D,D,1
anatomy,D,D,1
anatomy,D,D,1
anatomy,D,D,1
anatomy,D,B,0
anatomy,C,A,0
anatomy,C,C,1
anatomy,D,B,0
anatomy,D,D,1
anatomy,A,D,0
anatomy,C,C,1
anatomy,C,C,1
anatomy,C,C,1
anatomy,A,B,0
anatomy,C,B,0
anatomy,D,B,0
anatomy,A,C,0
anatomy,C,C,1
anatomy,D,A,0
anatomy,C,C,1
anatomy,D,B,0
anatomy,C,C,1
anatomy,B,A,0
anatomy,B,B,1
anatomy,D,B,0
anatomy,A,C,0
anatomy,D,C,0
anatomy,D,D,1
anatomy,C,C,1
anatomy,A,D,0
anatomy,C,C,1
anatomy,C,C,1
anatomy,B,C,0
anatomy,B,B,1
anatomy,B,C,0
anatomy,A,A,1
anatomy,C,C,1
anatomy,B,B,1
anatomy,C,C,1
anatomy,A,A,1
anatomy,A,C,0
anatomy,D,D,1
anatomy,D,D,1
anatomy,B,B,1
anatomy,B,B,1
anatomy,B,B,1
anatomy,B,D,0
anatomy,A,A,1
anatomy,C,C,1
anatomy,D,D,1
anatomy,B,D,0
anatomy,D,D,1
anatomy,C,C,1
anatomy,B,B,1
anatomy,C,C,1
anatomy,C,C,1
anatomy,D,B,0
anatomy,D,D,1
anatomy,C,C,1
anatomy,B,D,0
anatomy,B,B,1
anatomy,A,B,0
anatomy,A,A,1
anatomy,D,D,1
anatomy,C,A,0
anatomy,D,D,1
anatomy,C,C,1
anatomy,A,A,1
anatomy,A,A,1
anatomy,C,C,1
anatomy,D,D,1
anatomy,B,B,1
anatomy,B,B,1
anatomy,B,C,0
anatomy,B,B,1
anatomy,B,B,1
anatomy,C,C,1
anatomy,C,C,1
anatomy,A,C,0
anatomy,A,C,0
anatomy,A,A,1
anatomy,D,D,1
anatomy,D,B,0
anatomy,D,B,0
anatomy,D,D,1
anatomy,B,A,0
anatomy,A,C,0
anatomy,D,A,0
anatomy,A,C,0
anatomy,B,A,0
anatomy,B,C,0
anatomy,D,D,1
anatomy,C,D,0
anatomy,C,C,1
anatomy,D,B,0
anatomy,A,A,1
anatomy,A,C,0
anatomy,C,C,1
anatomy,A,D,0
anatomy,D,D,1
anatomy,A,A,1
anatomy,D,C,0
anatomy,D,C,0
