Subject,pred,gold,Is_Correct,Model
abstract_algebra,B,B,1,Llama-3.1-8B-Instruct
abstract_algebra,N/A,C,0,Llama-3.1-8B-Instruct
abstract_algebra,D,D,1,Llama-3.1-8B-Instruct
abstract_algebra,C,B,0,Llama-3.1-8B-Instruct
abstract_algebra,A,B,0,Llama-3.1-8B-Instruct
abstract_algebra,C,A,0,Llama-3.1-8B-Instruct
abstract_algebra,A,A,1,Llama-3.1-8B-Instruct
abstract_algebra,A,D,0,Llama-3.1-8B-Instruct
abstract_algebra,C,B,0,Llama-3.1-8B-Instruct
abstract_algebra,C,C,1,Llama-3.1-8B-Instruct
abstract_algebra,A,C,0,Llama-3.1-8B-Instruct
abstract_algebra,D,C,0,Llama-3.1-8B-Instruct
abstract_algebra,C,A,0,Llama-3.1-8B-Instruct
abstract_algebra,C,C,1,Llama-3.1-8B-Instruct
abstract_algebra,C,C,1,Llama-3.1-8B-Instruct
abstract_algebra,A,B,0,Llama-3.1-8B-Instruct
abstract_algebra,D,C,0,Llama-3.1-8B-Instruct
abstract_algebra,D,C,0,Llama-3.1-8B-Instruct
abstract_algebra,D,D,1,Llama-3.1-8B-Instruct
abstract_algebra,C,A,0,Llama-3.1-8B-Instruct
abstract_algebra,C,A,0,Llama-3.1-8B-Instruct
abstract_algebra,A,A,1,Llama-3.1-8B-Instruct
abstract_algebra,A,D,0,Llama-3.1-8B-Instruct
abstract_algebra,C,D,0,Llama-3.1-8B-Instruct
abstract_algebra,A,B,0,Llama-3.1-8B-Instruct
abstract_algebra,D,C,0,Llama-3.1-8B-Instruct
abstract_algebra,C,C,1,Llama-3.1-8B-Instruct
abstract_algebra,D,B,0,Llama-3.1-8B-Instruct
abstract_algebra,A,D,0,Llama-3.1-8B-Instruct
abstract_algebra,A,A,1,Llama-3.1-8B-Instruct
abstract_algebra,A,B,0,Llama-3.1-8B-Instruct
abstract_algebra,B,B,1,Llama-3.1-8B-Instruct
abstract_algebra,A,A,1,Llama-3.1-8B-Instruct
abstract_algebra,C,C,1,Llama-3.1-8B-Instruct
abstract_algebra,A,A,1,Llama-3.1-8B-Instruct
abstract_algebra,B,B,1,Llama-3.1-8B-Instruct
abstract_algebra,D,D,1,Llama-3.1-8B-Instruct
abstract_algebra,C,B,0,Llama-3.1-8B-Instruct
abstract_algebra,A,C,0,Llama-3.1-8B-Instruct
abstract_algebra,C,D,0,Llama-3.1-8B-Instruct
abstract_algebra,A,C,0,Llama-3.1-8B-Instruct
abstract_algebra,B,A,0,Llama-3.1-8B-Instruct
abstract_algebra,C,B,0,Llama-3.1-8B-Instruct
abstract_algebra,A,C,0,Llama-3.1-8B-Instruct
abstract_algebra,C,C,1,Llama-3.1-8B-Instruct
abstract_algebra,C,C,1,Llama-3.1-8B-Instruct
abstract_algebra,C,B,0,Llama-3.1-8B-Instruct
abstract_algebra,A,B,0,Llama-3.1-8B-Instruct
abstract_algebra,A,C,0,Llama-3.1-8B-Instruct
abstract_algebra,B,B,1,Llama-3.1-8B-Instruct
abstract_algebra,C,D,0,Llama-3.1-8B-Instruct
