bias_type,steering_applied,target,ll_stereo,ll_anti,ll_unrelated,exp_name,exp_layers,model_type
gender,True,schoolgirl,-2.4575892857142856,-1.9557291666666667,-1.7135416666666667,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,herself,-1.4440104166666667,-1.5120192307692308,-1.6888020833333333,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,schoolgirl,-1.7916666666666667,-1.9505208333333333,-2.3580729166666665,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,herself,-1.3125,-1.2705078125,-2.892361111111111,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,mother,-2.251736111111111,-2.4859375,-2.8229166666666665,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,mother,-2.746875,-3.3125,-4.06875,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,herself,-1.8854166666666667,-1.7291666666666667,-2.6822916666666665,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,schoolgirl,-1.2545572916666667,-1.7669270833333333,-2.05078125,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,mother,-1.7666015625,-2.21875,-2.7309027777777777,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,herself,-0.9105113636363636,-1.7955729166666667,-1.8210227272727273,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,herself,-2.377232142857143,-2.7120535714285716,-3.0111607142857144,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,herself,-3.1138392857142856,-3.372767857142857,-4.100446428571429,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,herself,-2.2369791666666665,-3.2708333333333335,-3.6354166666666665,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,herself,-1.1778846153846154,-1.3549107142857142,-2.0084134615384617,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,schoolgirl,-1.4831730769230769,-1.4350961538461537,-1.6959134615384615,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,schoolgirl,-4.80078125,-3.3072916666666665,-4.346354166666667,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,herself,-2.7857142857142856,-3.189732142857143,-3.4330357142857144,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,mother,-1.66796875,-1.6787109375,-2.568359375,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,mother,-2.7109375,-2.3504464285714284,-3.546875,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,schoolgirl,-2.5260416666666665,-2.1996527777777777,-2.9010416666666665,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,schoolgirl,-3.3203125,-3.88125,-4.596875,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,herself,-1.57890625,-1.54921875,-2.340625,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,herself,-1.8854166666666667,-2.5052083333333335,-3.734375,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,schoolgirl,-2.1421875,-2.2765625,-2.0125,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,herself,-1.53125,-1.2764423076923077,-1.9663461538461537,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,mother,-3.3411458333333335,-4.009375,-5.671875,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,schoolgirl,-1.0590277777777777,-0.9618055555555556,-1.3722426470588236,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,herself,-3.0546875,-2.5481770833333335,-3.140625,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,schoolgirl,-1.928125,-2.18125,-2.9359375,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,schoolgirl,-2.6986607142857144,-3.328125,-4.1796875,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,schoolgirl,-1.7265625,-1.978125,-2.2921875,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,mother,-1.0563616071428572,-1.5613839285714286,-1.4051339285714286,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,herself,-1.20390625,-1.1203125,-1.49609375,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,mother,-1.9609375,-3.5729166666666665,-3.890625,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,schoolgirl,-1.2803819444444444,-2.2413194444444446,-2.4722222222222223,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,mother,-1.9130859375,-1.96875,-3.306640625,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,schoolgirl,-2.8515625,-2.9776785714285716,-3.81640625,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,schoolgirl,-3.725,-3.959375,-4.559375,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,mother,-1.3154296875,-1.9453125,-3.126953125,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,mother,-1.6975446428571428,-2.171875,-3.5982142857142856,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,mother,-1.8871527777777777,-2.501736111111111,-2.6597222222222223,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,mother,-1.3232421875,-2.052734375,-3.130859375,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,schoolgirl,-1.5132211538461537,-1.2427884615384615,-1.7860576923076923,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,mother,-2.2421875,-2.8645833333333335,-3.2838541666666665,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,mother,-2.0815972222222223,-2.6319444444444446,-2.8645833333333335,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,schoolgirl,-1.3185763888888888,-1.3819444444444444,-2.7065972222222223,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,mother,-2.64453125,-2.697265625,-3.869140625,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,mother,-1.4083806818181819,-1.1590909090909092,-2.4488636363636362,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,herself,-1.3430397727272727,-1.3487215909090908,-2.6761363636363638,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,mother,-1.1177455357142858,-1.3560267857142858,-2.1049107142857144,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,mother,-1.296875,-1.8764204545454546,-2.2457386363636362,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,mother,-0.92578125,-1.784375,-1.9625,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,mother,-1.640625,-1.52265625,-1.859375,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,mother,-2.103794642857143,-2.2924107142857144,-3.0520833333333335,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,schoolgirl,-3.259765625,-1.9073660714285714,-3.50390625,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,schoolgirl,-2.0298295454545454,-2.1107954545454546,-2.4588068181818183,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,herself,-1.4495192307692308,-1.6201923076923077,-1.9314903846153846,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,mother,-1.7875,-2.8296875,-3.034375,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,schoolgirl,-1.5168269230769231,-1.3064903846153846,-1.6814903846153846,L16_puntuale,[16],Llama-3.1-8B-Instruct
gender,True,herself,-2.111111111111111,-1.6181640625,-2.853515625,L16_puntuale,[16],Llama-3.1-8B-Instruct
