Subject,Is_Correct
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,1
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,1
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,1
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,1
abstract_algebra,0
abstract_algebra,1
abstract_algebra,0
abstract_algebra,0
abstract_algebra,1
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,1
abstract_algebra,0
abstract_algebra,0
abstract_algebra,1
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,1
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,1
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,1
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
abstract_algebra,0
anatomy,0
anatomy,1
anatomy,1
anatomy,0
anatomy,1
anatomy,0
anatomy,1
anatomy,1
anatomy,0
anatomy,1
anatomy,0
anatomy,0
anatomy,0
anatomy,0
anatomy,0
anatomy,0
anatomy,0
anatomy,1
anatomy,1
anatomy,1
anatomy,1
anatomy,0
anatomy,0
anatomy,0
anatomy,1
anatomy,0
anatomy,1
anatomy,0
anatomy,1
anatomy,0
anatomy,1
anatomy,0
anatomy,1
anatomy,0
anatomy,0
anatomy,0
anatomy,1
anatomy,1
anatomy,1
anatomy,1
anatomy,1
anatomy,1
anatomy,1
anatomy,1
anatomy,0
anatomy,0
anatomy,1
anatomy,1
anatomy,0
anatomy,1
anatomy,1
anatomy,1
anatomy,1
anatomy,1
anatomy,1
anatomy,0
anatomy,1
anatomy,1
anatomy,1
anatomy,0
anatomy,1
anatomy,0
anatomy,1
anatomy,1
anatomy,1
anatomy,0
anatomy,0
anatomy,0
anatomy,0
anatomy,1
anatomy,1
anatomy,1
anatomy,0
anatomy,0
anatomy,1
anatomy,1
anatomy,1
anatomy,0
anatomy,1
anatomy,1
anatomy,1
anatomy,0
anatomy,0
anatomy,1
anatomy,1
anatomy,1
anatomy,0
anatomy,0
anatomy,0
anatomy,1
anatomy,1
anatomy,0
anatomy,0
anatomy,1
anatomy,0
anatomy,0
anatomy,0
anatomy,0
anatomy,0
anatomy,0
anatomy,0
anatomy,0
anatomy,0
anatomy,0
anatomy,0
anatomy,1
anatomy,1
anatomy,0
anatomy,1
anatomy,1
anatomy,0
anatomy,0
anatomy,1
anatomy,1
anatomy,1
anatomy,1
anatomy,0
anatomy,1
anatomy,0
anatomy,0
anatomy,1
anatomy,1
anatomy,1
anatomy,1
anatomy,1
anatomy,0
anatomy,1
anatomy,0
anatomy,1
anatomy,0
anatomy,1
anatomy,1
anatomy,1
anatomy,1
anatomy,0
astronomy,1
astronomy,1
astronomy,1
astronomy,0
astronomy,1
astronomy,1
astronomy,0
astronomy,0
astronomy,0
astronomy,1
astronomy,1
astronomy,1
astronomy,1
astronomy,1
astronomy,1
astronomy,1
astronomy,1
astronomy,0
astronomy,1
astronomy,0
astronomy,1
astronomy,1
astronomy,1
astronomy,0
astronomy,1
astronomy,0
astronomy,0
astronomy,1
astronomy,0
astronomy,0
astronomy,0
astronomy,1
astronomy,1
astronomy,1
astronomy,1
astronomy,1
astronomy,1
astronomy,1
astronomy,1
astronomy,1
astronomy,0
astronomy,1
astronomy,0
astronomy,0
astronomy,1
astronomy,1
astronomy,1
astronomy,0
astronomy,0
astronomy,1
astronomy,0
astronomy,0
astronomy,0
astronomy,0
astronomy,1
astronomy,1
astronomy,1
astronomy,1
astronomy,0
astronomy,1
astronomy,1
astronomy,1
astronomy,1
astronomy,0
astronomy,1
astronomy,1
astronomy,1
astronomy,1
astronomy,0
astronomy,0
astronomy,1
astronomy,1
astronomy,1
astronomy,1
astronomy,0
astronomy,1
astronomy,1
astronomy,0
astronomy,1
astronomy,1
astronomy,0
astronomy,1
astronomy,1
astronomy,1
astronomy,1
astronomy,1
astronomy,1
astronomy,0
astronomy,0
astronomy,1
astronomy,0
astronomy,0
astronomy,1
astronomy,0
astronomy,0
astronomy,1
astronomy,1
astronomy,1
astronomy,0
astronomy,0
astronomy,0
astronomy,0
astronomy,0
astronomy,1
astronomy,0
astronomy,1
astronomy,1
astronomy,0
astronomy,1
astronomy,0
astronomy,1
astronomy,1
astronomy,1
astronomy,0
astronomy,0
astronomy,1
astronomy,1
