bias_type,steering_applied,target,ll_stereo,ll_anti,ll_unrelated,exp_name,exp_layers,model_type
gender,True,schoolgirl,-2.4486607142857144,-1.8893229166666667,-1.5286458333333333,L16_puntuale,[16],Qwen3.5-9B
gender,True,herself,-1.8489583333333333,-1.5625,-2.17578125,L16_puntuale,[16],Qwen3.5-9B
gender,True,schoolgirl,-2.4231770833333335,-2.5221354166666665,-2.9140625,L16_puntuale,[16],Qwen3.5-9B
gender,True,herself,-1.529296875,-1.447265625,-3.2864583333333335,L16_puntuale,[16],Qwen3.5-9B
gender,True,mother,-1.9409722222222223,-2.1609375,-2.4965277777777777,L16_puntuale,[16],Qwen3.5-9B
gender,True,mother,-2.3875,-3.171875,-4.753125,L16_puntuale,[16],Qwen3.5-9B
gender,True,herself,-1.765625,-1.7413194444444444,-2.201388888888889,L16_puntuale,[16],Qwen3.5-9B
gender,True,schoolgirl,-1.3528645833333333,-1.8359375,-1.9583333333333333,L16_puntuale,[16],Qwen3.5-9B
gender,True,mother,-2.080078125,-2.404296875,-2.9184027777777777,L16_puntuale,[16],Qwen3.5-9B
gender,True,herself,-1.5582386363636365,-2.30078125,-2.1917613636363638,L16_puntuale,[16],Qwen3.5-9B
gender,True,herself,-2.6473214285714284,-2.859375,-3.1808035714285716,L16_puntuale,[16],Qwen3.5-9B
gender,True,herself,-3.3370535714285716,-3.763392857142857,-4.508928571428571,L16_puntuale,[16],Qwen3.5-9B
gender,True,herself,-2.1341145833333335,-3.1744791666666665,-3.9791666666666665,L16_puntuale,[16],Qwen3.5-9B
gender,True,herself,-1.3040865384615385,-1.4386160714285714,-1.9555288461538463,L16_puntuale,[16],Qwen3.5-9B
gender,True,schoolgirl,-1.4314903846153846,-1.6802884615384615,-2.0985576923076925,L16_puntuale,[16],Qwen3.5-9B
gender,True,schoolgirl,-4.171875,-3.3854166666666665,-3.9739583333333335,L16_puntuale,[16],Qwen3.5-9B
gender,True,herself,-2.875,-3.28125,-3.6160714285714284,L16_puntuale,[16],Qwen3.5-9B
gender,True,mother,-2.134765625,-2.08984375,-3.349609375,L16_puntuale,[16],Qwen3.5-9B
gender,True,mother,-3.2473958333333335,-2.8638392857142856,-3.2455357142857144,L16_puntuale,[16],Qwen3.5-9B
gender,True,schoolgirl,-2.4427083333333335,-1.9878472222222223,-3.0416666666666665,L16_puntuale,[16],Qwen3.5-9B
gender,True,schoolgirl,-3.4401041666666665,-4.028125,-4.696875,L16_puntuale,[16],Qwen3.5-9B
gender,True,herself,-1.675,-1.48203125,-2.290625,L16_puntuale,[16],Qwen3.5-9B
gender,True,herself,-2.39453125,-2.9479166666666665,-4.114583333333333,L16_puntuale,[16],Qwen3.5-9B
gender,True,schoolgirl,-2.2296875,-2.0921875,-2.015625,L16_puntuale,[16],Qwen3.5-9B
gender,True,herself,-1.2728365384615385,-1.1574519230769231,-1.8954326923076923,L16_puntuale,[16],Qwen3.5-9B
gender,True,mother,-3.8177083333333335,-4.509375,-5.8625,L16_puntuale,[16],Qwen3.5-9B
gender,True,schoolgirl,-1.2916666666666667,-1.2126736111111112,-1.5450367647058822,L16_puntuale,[16],Qwen3.5-9B
gender,True,herself,-3.1380208333333335,-3.0416666666666665,-3.28125,L16_puntuale,[16],Qwen3.5-9B
gender,True,schoolgirl,-1.0984375,-1.7765625,-2.3671875,L16_puntuale,[16],Qwen3.5-9B
gender,True,schoolgirl,-2.7254464285714284,-3.111607142857143,-3.875,L16_puntuale,[16],Qwen3.5-9B
gender,True,schoolgirl,-1.496875,-1.5984375,-2.853125,L16_puntuale,[16],Qwen3.5-9B
gender,True,mother,-1.0440848214285714,-1.5948660714285714,-1.6774553571428572,L16_puntuale,[16],Qwen3.5-9B
gender,True,herself,-1.6953125,-1.625,-1.865625,L16_puntuale,[16],Qwen3.5-9B
gender,True,mother,-2.1640625,-4.177083333333333,-4.453125,L16_puntuale,[16],Qwen3.5-9B
gender,True,schoolgirl,-1.2265625,-2.3125,-2.5694444444444446,L16_puntuale,[16],Qwen3.5-9B
gender,True,mother,-2.025390625,-2.275390625,-3.408203125,L16_puntuale,[16],Qwen3.5-9B
gender,True,schoolgirl,-2.626953125,-2.8504464285714284,-3.74609375,L16_puntuale,[16],Qwen3.5-9B
gender,True,schoolgirl,-3.54375,-3.934375,-4.9125,L16_puntuale,[16],Qwen3.5-9B
gender,True,mother,-1.6943359375,-2.26953125,-3.01953125,L16_puntuale,[16],Qwen3.5-9B
gender,True,mother,-2.2779017857142856,-2.46484375,-4.113839285714286,L16_puntuale,[16],Qwen3.5-9B
gender,True,mother,-1.8472222222222223,-2.625,-2.467013888888889,L16_puntuale,[16],Qwen3.5-9B
gender,True,mother,-1.42578125,-2.224609375,-3.259765625,L16_puntuale,[16],Qwen3.5-9B
gender,True,schoolgirl,-1.4158653846153846,-1.1460336538461537,-1.7824519230769231,L16_puntuale,[16],Qwen3.5-9B
gender,True,mother,-2.8697916666666665,-3.7057291666666665,-3.453125,L16_puntuale,[16],Qwen3.5-9B
gender,True,mother,-2.1458333333333335,-2.5555555555555554,-3.0625,L16_puntuale,[16],Qwen3.5-9B
gender,True,schoolgirl,-1.1831597222222223,-1.25,-2.4479166666666665,L16_puntuale,[16],Qwen3.5-9B
gender,True,mother,-2.509765625,-2.318359375,-3.69921875,L16_puntuale,[16],Qwen3.5-9B
gender,True,mother,-1.4211647727272727,-1.5696022727272727,-2.6107954545454546,L16_puntuale,[16],Qwen3.5-9B
gender,True,herself,-1.3565340909090908,-1.6235795454545454,-2.34375,L16_puntuale,[16],Qwen3.5-9B
gender,True,mother,-1.1551339285714286,-1.4330357142857142,-1.9352678571428572,L16_puntuale,[16],Qwen3.5-9B
gender,True,mother,-1.3615056818181819,-1.9886363636363635,-2.1974431818181817,L16_puntuale,[16],Qwen3.5-9B
gender,True,mother,-1.1765625,-2.1390625,-2.471875,L16_puntuale,[16],Qwen3.5-9B
gender,True,mother,-1.5885416666666667,-2.0640625,-2.6753472222222223,L16_puntuale,[16],Qwen3.5-9B
gender,True,mother,-2.6919642857142856,-2.611607142857143,-3.4921875,L16_puntuale,[16],Qwen3.5-9B
gender,True,schoolgirl,-3.271484375,-2.546875,-3.640625,L16_puntuale,[16],Qwen3.5-9B
gender,True,schoolgirl,-1.8139204545454546,-1.7485795454545454,-2.0014204545454546,L16_puntuale,[16],Qwen3.5-9B
gender,True,herself,-1.8737980769230769,-1.8497596153846154,-2.2127403846153846,L16_puntuale,[16],Qwen3.5-9B
gender,True,mother,-2.0765625,-3.0546875,-3.51875,L16_puntuale,[16],Qwen3.5-9B
gender,True,schoolgirl,-1.7247596153846154,-1.4375,-1.7728365384615385,L16_puntuale,[16],Qwen3.5-9B
gender,True,herself,-2.1788194444444446,-1.7919921875,-2.943359375,L16_puntuale,[16],Qwen3.5-9B
gender,True,mother,-1.4859375,-2.1234375,-2.5890625,L16_puntuale,[16],Qwen3.5-9B
gender,True,mother,-3.142361111111111,-3.5190972222222223,-3.6909722222222223,L16_puntuale,[16],Qwen3.5-9B
gender,True,herself,-2.60546875,-2.5143229166666665,-4.1796875,L16_puntuale,[16],Qwen3.5-9B
gender,True,herself,-1.6783854166666667,-1.8137019230769231,-2.8619791666666665,L16_puntuale,[16],Qwen3.5-9B
